date,symbol,fee_usd_totals,fee_usd_exch,rev_usd_totals,rev_usd_exch,delta_fee_usd_totals,delta_fee_usd_exch,delta_rev_usd_totals,delta_rev_usd_exch,rn_totals,rn_exch,cv_totals,cv_exch
2025-02-12,GMTrade,,0.5617806318144399,,0.39254698845458996,,0.5617806318144399,,0.39254698845458996,,2.0,,#f79009
2025-02-11,Total,958125.1032457624,,249872.8272489406,,-24354.488247402594,,-4483.476985600661,,1.0,,#545cf8,
2025-02-11,Jupiter,,940734.9679957624,,235183.7419989406,,-28610.201682402636,,-7152.550420600659,,,,
2025-02-11,Drift,,8151.6052500000005,,8151.6052500000005,,-1205.5665649999992,,-1205.5665649999992,,,,
2025-02-11,Flash Trade,,9238.53,,6537.48,,5461.280000000001,,3874.6399999999994,,4.0,,#63b512
2025-02-11,GMTrade,,0.0,,0.0,,0.0,,0.0,,2.0,,#f79009
2025-02-10,Total,982479.591493165,,254356.30423454125,,-374734.2377347868,,-97386.50142069673,,1.0,,#545cf8,
2025-02-10,Jupiter,,969345.169678165,,242336.29241954125,,-367368.28841878695,,-91842.07210469674,,,,
2025-02-10,Drift,,9357.171815,,9357.171815,,-1018.2093159999949,,-1018.2093159999949,,,,
2025-02-10,Flash Trade,,3777.25,,2662.84,,-6347.74,,-4526.22,,4.0,,#63b512
2025-02-10,GMTrade,,0.0,,0.0,,,,,,2.0,,#f79009
2025-02-09,Total,1357213.8292279518,,351742.805655238,,566690.6731993582,,148365.27038233957,,1.0,,#545cf8,
2025-02-09,Jupiter,,1336713.458096952,,334178.364524238,,554869.7770893583,,138717.44427233958,,,,
2025-02-09,Drift,,10375.381130999995,,10375.381130999995,,4318.416109999995,,4318.416109999995,,,,
2025-02-09,Flash Trade,,10124.99,,7189.06,,7502.48,,5329.41,,4.0,,#63b512
2025-02-08,Total,790523.1560285937,,203377.5352728984,,-691706.7596360394,,-179371.28026025984,,1.0,,#545cf8,
2025-02-08,Jupiter,,781843.6810075936,,195460.9202518984,,-679726.3725010394,,-169931.59312525985,,,,
2025-02-08,Drift,,6056.965021,,6056.965021,,-3481.1671349999997,,-3481.1671349999997,,,,
2025-02-08,Flash Trade,,2622.51,,1859.65,,-8499.22,,-5958.52,,4.0,,#63b512
2025-02-07,Total,1482229.915664633,,382748.81553315825,,963447.477842649,,242496.13235166224,,1.0,,#545cf8,
2025-02-07,Jupiter,,1461570.053508633,,365392.51337715826,,962753.700654649,,240688.42516366224,,,,
2025-02-07,Drift,,9538.132156,,9538.132156,,4350.917188000003,,4350.917188000003,,,,
2025-02-07,Flash Trade,,11121.73,,7818.17,,-3657.1400000000012,,-2543.209999999999,,4.0,,#63b512
2025-02-06,Total,518782.4378219841,,140252.68318149602,,-544579.033418061,,-132734.42106751524,,1.0,,#545cf8,
2025-02-06,Jupiter,,498816.3528539841,,124704.08821349603,,-551739.6831340608,,-137934.9207835152,,,,
2025-02-06,Flash Trade,,14778.87,,10361.38,,6510.880000000001,,4550.73,,4.0,,#63b512
2025-02-06,Drift,,5187.214967999997,,5187.214967999997,,649.769715999998,,649.769715999998,,,,
2025-02-05,Total,1063361.471240045,,272987.10424901126,,-1460705.047956299,,-371940.90158332477,,1.0,,#545cf8,
2025-02-05,Jupiter,,1050556.035988045,,262639.00899701123,,-1447187.5684972992,,-361796.8921243248,,,,
2025-02-05,Flash Trade,,8267.99,,5810.65,,-11299.17,,-7925.700000000001,,4.0,,#63b512
2025-02-05,Drift,,4537.445251999999,,4537.445251999999,,-2218.309459000003,,-2218.309459000003,,,,
2025-02-04,Total,2524066.519196344,,644928.005832336,,-2839381.211012212,,-796219.782767553,,1.0,,#545cf8,
2025-02-04,Jupiter,,2497743.604485344,,624435.901121336,,-2718751.104326212,,-679687.776081553,,,,
2025-02-04,Flash Trade,,19567.16,,13736.35,,-14840.100000000002,,-10741.999999999998,,4.0,,#63b512
2025-02-04,Drift,,6755.754711000001,,6755.754711000001,,-105790.00668600004,,-105790.00668600004,,,,
2025-02-03,Total,5363447.730208556,,1441147.788599889,,1623440.7276857179,,429811.1932439294,,1.0,,#545cf8,
2025-02-03,Jupiter,,5216494.708811556,,1304123.677202889,,1592495.8592557176,,398123.9648139294,,,,
2025-02-03,Drift,,112545.76139700004,,112545.76139700004,,35011.878430000055,,35011.878430000055,,,,
2025-02-03,Flash Trade,,34407.26,,24478.35,,-4067.0099999999948,,-3324.6500000000015,,4.0,,#63b512
2025-02-02,Total,3740007.0025228383,,1011336.5953559596,,2091476.004041574,,582215.3257288935,,1.0,,#545cf8,
2025-02-02,Jupiter,,3623998.8495558384,,905999.7123889596,,2003489.171083574,,500872.2927708935,,,,
2025-02-02,Drift,,77533.88296699998,,77533.88296699998,,63190.832957999985,,63190.832957999985,,,,
2025-02-02,Flash Trade,,38474.27,,27803.0,,24795.999999999996,,18152.2,,4.0,,#63b512
2025-02-01,Total,1648530.9984812643,,429121.2696270661,,209425.18064396596,,60334.4908652415,,1.0,,#545cf8,
2025-02-01,Jupiter,,1620509.6784722644,,405127.4196180661,,197566.59970496595,,49391.64992624149,,,,
2025-02-01,Drift,,14343.050008999997,,14343.050008999997,,8979.100939,,8979.100939,,,,
2025-02-01,Flash Trade,,13678.27,,9650.8,,2879.4799999999996,,1963.7399999999989,,4.0,,#63b512
2025-01-31,Total,1439105.8178372984,,368786.7787618246,,-62769.26747814962,,-12645.434461037396,,1.0,,#545cf8,
2025-01-31,Jupiter,,1422943.0787672985,,355735.7696918246,,-68503.61735614948,,-17125.90433903737,,,,
2025-01-31,Flash Trade,,10798.79,,7687.06,,4654.470000000001,,3400.59,,4.0,,#63b512
2025-01-31,Drift,,5363.949069999996,,5363.949069999996,,1079.8798779999952,,1079.8798779999952,,,,
2025-01-30,Total,1501875.085315448,,381432.213222862,,-185688.74900066224,,-56630.23901791556,,1.0,,#545cf8,
2025-01-30,Jupiter,,1491446.696123448,,372861.674030862,,-169304.4666436622,,-42326.11666091555,,,,
2025-01-30,Flash Trade,,6144.32,,4286.47,,-7440.630000000001,,-5360.47,,4.0,,#63b512
2025-01-30,Drift,,4284.069192000001,,4284.069192000001,,-8943.652356999999,,-8943.652356999999,,,,
2025-01-29,Total,1687563.8343161102,,438062.45224077755,,186706.30590474815,,48432.36242443707,,1.0,,#545cf8,
2025-01-29,Jupiter,,1660751.1627671102,,415187.79069177754,,183505.13797374815,,45876.28449343704,,,,
2025-01-29,Drift,,13227.721549,,13227.721549,,805.7679310000112,,805.7679310000112,,,,
2025-01-29,Flash Trade,,13584.95,,9646.94,,2395.4000000000015,,1750.3100000000004,,4.0,,#63b512
2025-01-28,Total,1500857.528411362,,389630.0898163405,,-1048924.5844645046,,-307763.39223712625,,1.0,,#545cf8,
2025-01-28,Jupiter,,1477246.024793362,,369311.5061983405,,-985972.4696365048,,-246493.1174091262,,,,
2025-01-28,Drift,,12421.953617999989,,12421.953617999989,,-57095.40482800003,,-57095.40482800003,,,,
2025-01-28,Flash Trade,,11189.55,,7896.63,,-5856.709999999999,,-4174.87,,4.0,,#63b512
2025-01-27,Total,2549782.1128758667,,697393.4820534667,,1513636.3400026476,,418883.6550569119,,1.0,,#545cf8,
2025-01-27,Jupiter,,2463218.494429867,,615804.6236074667,,1461626.4599276476,,365406.6149819119,,,,
2025-01-27,Drift,,69517.35844600001,,69517.35844600001,,57614.61007499999,,57614.61007499999,,,,
2025-01-27,Flash Trade,,17046.26,,12071.5,,-5604.730000000003,,-4137.57,,4.0,,#63b512
2025-01-26,Total,1036145.7728732192,,278509.8269965548,,95905.36419396359,,31817.3008474909,,1.0,,#545cf8,
2025-01-26,Jupiter,,1001592.0345022192,,250398.0086255548,,81518.60446196352,,20379.65111549088,,,,
2025-01-26,Flash Trade,,22650.99,,16209.07,,11124.360000000002,,8175.25,,4.0,,#63b512
2025-01-26,Drift,,11902.748371000022,,11902.748371000022,,3262.3997320000235,,3262.3997320000235,,,,
2025-01-25,Total,940240.4086792556,,246692.5261490639,,-1197395.2225550716,,-300839.12844951794,,1.0,,#545cf8,
2025-01-25,Jupiter,,920073.4300402557,,230018.3575100639,,-1192915.2054740717,,-298228.8013685179,,,,
2025-01-25,Drift,,8640.348638999998,,8640.348638999998,,2005.3729189999976,,2005.3729189999976,,,,
2025-01-25,Flash Trade,,11526.63,,8033.82,,-6485.390000000001,,-4615.700000000001,,4.0,,#63b512
2025-01-24,Total,2137635.6312343273,,547531.6545985818,,-982023.5733791743,,-249307.63310629362,,1.0,,#545cf8,
2025-01-24,Jupiter,,2112988.6355143273,,528247.1588785818,,-978364.8536971742,,-244591.21342429356,,,,
2025-01-24,Flash Trade,,18012.02,,12649.52,,3645.1900000000005,,2587.49,,4.0,,#63b512
2025-01-24,Drift,,6634.97572,,6634.97572,,-7303.90968200001,,-7303.90968200001,,,,
2025-01-23,Total,3119659.2046135017,,796839.2877048755,,1266052.883111683,,321796.5831904208,,1.0,,#545cf8,
2025-01-23,Jupiter,,3091353.4892115016,,772838.3723028754,,1258911.906561683,,314727.97664042073,,,,
2025-01-23,Drift,,13938.88540200001,,13938.88540200001,,6998.056550000006,,6998.056550000006,,,,
2025-01-23,Flash Trade,,14366.83,,10062.03,,142.92000000000007,,70.55000000000109,,4.0,,#63b512
2025-01-22,Total,1853606.3215018187,,475042.70451445464,,-206370.8134146384,,-54543.86136965972,,1.0,,#545cf8,
2025-01-22,Jupiter,,1832441.5826498186,,458110.39566245466,,-201623.4027266386,,-50405.85068165965,,,,
2025-01-22,Flash Trade,,14223.91,,9991.48,,1534.6900000000005,,2144.0899999999992,,4.0,,#63b512
2025-01-22,Drift,,6940.828852000005,,6940.828852000005,,-6282.100687999998,,-6282.100687999998,,,,
2025-01-21,Total,2059977.134916457,,529586.5658841144,,-2176316.3400887074,,-584402.6029384268,,1.0,,#545cf8,
2025-01-21,Jupiter,,2034064.9853764572,,508516.2463441143,,-2115811.2095337072,,-528952.8023834268,,,,
2025-01-21,Drift,,13222.929540000003,,13222.929540000003,,-41734.45055500004,,-41734.45055500004,,,,
2025-01-21,Flash Trade,,12689.22,,7847.39,,-18770.68,,-13715.350000000002,,4.0,,#63b512
2025-01-20,Total,4236293.475005165,,1113989.1688225411,,-1172489.9405269949,,-300632.1927957488,,1.0,,#545cf8,
2025-01-20,Jupiter,,4149876.1949101645,,1037469.0487275411,,-1166789.3169749952,,-291697.3292437488,,,,
2025-01-20,Drift,,54957.380095000044,,54957.380095000044,,-14218.173551999906,,-14218.173551999906,,,,
2025-01-20,Flash Trade,,31459.9,,21562.74,,8517.550000000003,,5283.310000000001,,4.0,,#63b512
2025-01-19,Total,5408783.41553216,,1414621.36161829,,-194551.14306175988,,-31667.586547689978,,1.0,,#545cf8,
2025-01-19,Jupiter,,5316665.51188516,,1329166.37797129,,-214059.1020187596,,-53514.7755046899,,,,
2025-01-19,Drift,,69175.55364699995,,69175.55364699995,,27067.828956999903,,27067.828956999903,,,,
2025-01-19,Flash Trade,,22942.35,,16279.43,,-7559.870000000003,,-5220.639999999999,,4.0,,#63b512
2025-01-18,Total,5603334.5585939195,,1446288.94816598,,5042372.181936839,,1288507.0135007096,,1.0,,#545cf8,
2025-01-18,Jupiter,,5530724.613903919,,1382681.1534759798,,4997447.477914838,,1249361.8694787095,,,,
2025-01-18,Drift,,42107.72469000005,,42107.72469000005,,24996.26402200005,,24996.26402200005,,,,
2025-01-18,Flash Trade,,30502.22,,21500.07,,19928.440000000002,,14148.880000000001,,4.0,,#63b512
2025-01-17,Total,560962.3766570811,,157781.93466527027,,-871238.7071774339,,-211162.76877185848,,1.0,,#545cf8,
2025-01-17,Jupiter,,533277.1359890811,,133319.28399727028,,-880540.2912074339,,-220135.07280185848,,,,
2025-01-17,Drift,,17111.460667999996,,17111.460667999996,,8283.194029999984,,8283.194029999984,,,,
2025-01-17,Flash Trade,,10573.78,,7351.19,,1018.3900000000012,,689.1099999999997,,4.0,,#63b512
2025-01-16,Total,1432201.083834515,,368944.70343712874,,436784.15169467416,,111722.14743041855,,1.0,,#545cf8,
2025-01-16,Jupiter,,1413817.427196515,,353454.35679912876,,434266.48568567424,,108566.62142141856,,,,
2025-01-16,Drift,,8828.266638000012,,8828.266638000012,,4832.876009000012,,4832.876009000012,,,,
2025-01-16,Flash Trade,,9555.39,,6662.08,,-2315.210000000001,,-1677.3500000000004,,4.0,,#63b512
2025-01-15,Total,995416.9321398408,,257222.5560067102,,203537.29355638952,,54250.99989959737,,1.0,,#545cf8,
2025-01-15,Jupiter,,979550.9415108408,,244887.7353777102,,196453.07154238946,,49113.267885597365,,,,
