date,category,symbol,label,vol_category,vol_market_symbol,vol_sub1,vol_sub2,vol_exch,vol_exch_sub,vol_hip3,oi_category,oi_market_symbol,oi_sub1,oi_sub2,oi_exch,oi_exch_sub,oi_hip3,tc_category,tc_market_symbol,tc_sub1,tc_sub2,tc_exch,tc_exch_sub,tc_hip3,lv_category,lv_market_symbol,lv_sub1,lv_sub2,lv_exch,lv_exch_sub,lv_hip3,lc_category,lc_market_symbol,lc_sub1,lc_sub2,lc_exch,lc_exch_sub,lc_hip3,tr_category,tr_market_symbol,tr_sub1,tr_sub2,tr_exch,tr_exch_sub,tr_hip3,avg_ts_category,avg_ts_market_symbol,avg_ts_sub1,avg_ts_sub2,avg_ts_exch,avg_ts_exch_sub,avg_ts_hip3,avg_ls_category,avg_ls_market_symbol,avg_ls_sub1,avg_ls_sub2,avg_ls_exch,avg_ls_exch_sub,avg_ls_hip3,rn_category,rn_market_symbol,rn_sub1,rn_sub2,rn_exch,rn_exch_sub,rn_hip3,cv_category,cv_market_symbol,cv_sub1,cv_sub2,cv_exch,cv_exch_sub,cv_hip3
2026-06-09,FX,Exotic,,,,,32719373.240970843,,,,,,,15686575.762420548,,,,,,,1896.0,,,,,,,0.0,,,,,,,0.0,,,,,,,2.0858199862429387,,,,,,,17257.053397136522,,,,,,,,,,,,,,2,,,,,,,#f79009,,,
2026-06-09,FX,GMTrade,,,,,,189357003.35854012,,,,,,,172412615.69087023,,,,,,,8142.0,,,,,,,0.0,,,,,,,,,,,,,,1.0982781196130715,,,,,,,23256.816919496454,,,,,,,,,,,,,,1,,,,,,,#545cf8,,
2026-06-09,FX,Pacifica,,,,,,114614.25154666667,,,,,,,1044148.70686,,,,,,,17344.0,,,,,,,,,,,,,,,,,,,,,0.10976813052935591,,,,,,,6.608294023677737,,,,,,,,,,,,,,2,,,,,,,#f79009,,
2026-06-09,FX,Flash Trade,,,,,,67179.170205,,,,,,,55244.46106,,,,,,,18.0,,,,,,,458.185499,,,,,,,1.0,,,,,,,1.2160344931601004,,,,,,,3732.1761225,,,,,,,458.185499,,,,,,,3,,,,,,,#904ea6,,
2026-06-09,FX,___GMTrade,GMTrade,,,,,,189357003.35854012,,,,,,,172412615.69087023,,,,,,,8142.0,,,,,,,0.0,,,,,,,,,,,,,,1.0982781196130715,,,,,,,23256.816919496454,,,,,,,,,,,,,,1,,,,,,,#545cf8,
2026-06-09,FX,___Pacifica,Pacifica,,,,,,114614.25154666667,,,,,,,1044148.70686,,,,,,,17344.0,,,,,,,,,,,,,,,,,,,,,0.10976813052935591,,,,,,,6.608294023677737,,,,,,,,,,,,,,2,,,,,,,#f79009,
2026-06-09,FX,___Flash Trade,Flash Trade,,,,,,67179.170205,,,,,,,55244.46106,,,,,,,18.0,,,,,,,458.185499,,,,,,,1.0,,,,,,,1.2160344931601004,,,,,,,3732.1761225,,,,,,,458.185499,,,,,,,3,,,,,,,#904ea6,
2026-06-08,FX,Total,,294815998.67665195,,,,,,,174599435.74778908,,,,,,,38227.0,,,,,,,5489408.763675682,,,,,,,0.0,,,,,,,1.6885277859804604,,,,,,,7712.2452370484725,,,,,,,,,,,,,,1.0,,,,,,,#545cf8,,,,,,
2026-06-08,FX,_AUD,AUD,,51444259.55156228,,,,,,,36449828.80761516,,,,,,,3052.0,,,,,,,0.0,,,,,,,,,,,,,,1.4113717741471108,,,,,,,16855.91728426025,,,,,,,,,,,,,,1,,,,,,,#545cf8,,,,,
2026-06-08,FX,_EUR,EUR,,26813015.84919931,,,,,,,22697503.230371512,,,,,,,11578.0,,,,,,,0.0,,,,,,,,,,,,,,1.181320058733193,,,,,,,2315.8590299878483,,,,,,,,,,,,,,2,,,,,,,#f79009,,,,,
