date,blockchain,category,symbol,label,vol_category,vol_market_symbol,vol_sub1,vol_sub2,vol_exch,vol_exch_sub,vol_hip3,oi_category,oi_market_symbol,oi_sub1,oi_sub2,oi_exch,oi_exch_sub,oi_hip3,tc_category,tc_market_symbol,tc_sub1,tc_sub2,tc_exch,tc_exch_sub,tc_hip3,lv_category,lv_market_symbol,lv_sub1,lv_sub2,lv_exch,lv_exch_sub,lv_hip3,lc_category,lc_market_symbol,lc_sub1,lc_sub2,lc_exch,lc_exch_sub,lc_hip3,tr_category,tr_market_symbol,tr_sub1,tr_sub2,tr_exch,tr_exch_sub,tr_hip3,avg_ts_category,avg_ts_market_symbol,avg_ts_sub1,avg_ts_sub2,avg_ts_exch,avg_ts_exch_sub,avg_ts_hip3,avg_ls_category,avg_ls_market_symbol,avg_ls_sub1,avg_ls_sub2,avg_ls_exch,avg_ls_exch_sub,avg_ls_hip3,rn_category,rn_market_symbol,rn_sub1,rn_sub2,rn_exch,rn_exch_sub,rn_hip3,cv_category,cv_market_symbol,cv_sub1,cv_sub2,cv_exch,cv_exch_sub,cv_hip3,x
2026-06-08,solana,Index,___Pacifica,Pacifica,,,,,,427694.4453533334,,,,,,,417031.7954,,,,,,,15266.0,,,,,,,,,,,,,,,,,,,,,1.0255679544604175,,,,,,,28.01614341368619,,,,,,,,,,,,,,1,,,,,,,#545cf8,,True
2026-06-08,solana,Index,___Flash Trade,Flash Trade,,,,,,40873.438206000006,,,,,,,30735.603756,,,,,,,6.0,,,,,,,0.0,,,,,,,0.0,,,,,,,1.329840094584801,,,,,,,6812.239701000001,,,,,,,,,,,,,,2,,,,,,,#f79009,,True
2026-06-08,solana,Index,___GMTrade,GMTrade,,,,,,1127844.729045779,,,,,,,7492.815539457329,,,,,,,335.0,,,,,,,0.0,,,,,,,,,,,,,,150.52348788069375,,,,,,,3366.700683718743,,,,,,,,,,,,,,3,,,,,,,#904ea6,,True
2026-06-07,solana,Index,Total,,218681.04365333336,,,,,,,445176.79192,,,,,,,14850.0,,,,,,,,,,,,,,,,,,,,,0.49122292002281914,,,,,,,14.725996205611674,,,,,,,,,,,,,,1.0,,,,,,,#545cf8,,,,,,,True
2026-06-07,solana,Index,_SP500,SP500,,210952.0427466667,,,,,,,416227.7743,,,,,,,9042.0,,,,,,,,,,,,,,,,,,,,,0.5068187559118078,,,,,,,23.33024140087002,,,,,,,,,,,,,,1,,,,,,,#545cf8,,,,,,True
2026-06-07,solana,Index,_URNM,URNM,,7729.000906666665,,,,,,,28949.017619999995,,,,,,,5808.0,,,,,,,,,,,,,,,,,,,,,0.26698663865287553,,,,,,,1.3307508448117538,,,,,,,,,,,,,,3,,,,,,,#904ea6,,,,,,True
2026-06-07,solana,Index,__Equity,Equity,,,210952.0427466667,,,,,,,416227.7743,,,,,,,9042.0,,,,,,,,,,,,,,,,,,,,,0.5068187559118078,,,,,,,23.33024140087002,,,,,,,,,,,,,,1,,,,,,,#545cf8,,,,,True
2026-06-07,solana,Index,__Commodity,Commodity,,,7729.000906666665,,,,,,,28949.017619999995,,,,,,,5808.0,,,,,,,,,,,,,,,,,,,,,0.26698663865287553,,,,,,,1.3307508448117538,,,,,,,,,,,,,,2,,,,,,,#f79009,,,,,True
2026-06-07,solana,Index,Broad Market,,,,,210952.0427466667,,,,,,,416227.7743,,,,,,,9042.0,,,,,,,,,,,,,,,,,,,,,0.5068187559118078,,,,,,,23.33024140087002,,,,,,,,,,,,,,1,,,,,,,#545cf8,,,,True
2026-06-07,solana,Index,Miners,,,,,7729.000906666665,,,,,,,28949.017619999995,,,,,,,5808.0,,,,,,,,,,,,,,,,,,,,,0.26698663865287553,,,,,,,1.3307508448117538,,,,,,,,,,,,,,2,,,,,,,#f79009,,,,True
2026-06-07,solana,Index,Pacifica,,,,,,218681.04365333336,,,,,,,445176.79192,,,,,,,14850.0,,,,,,,,,,,,,,,,,,,,,0.49122292002281914,,,,,,,14.725996205611674,,,,,,,,,,,,,,1,,,,,,,#545cf8,,,True
2026-06-07,solana,Index,___Pacifica,Pacifica,,,,,,218681.04365333336,,,,,,,445176.79192,,,,,,,14850.0,,,,,,,,,,,,,,,,,,,,,0.49122292002281914,,,,,,,14.725996205611674,,,,,,,,,,,,,,1,,,,,,,#545cf8,,True
2026-06-07,solana,Index,_QQQ,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,#63b512,,,,,,True
2026-06-07,solana,Index,GMTrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,#904ea6,,,True
2026-06-07,solana,Index,___Flash Trade,Flash Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,#f79009,,True
2026-06-07,solana,Index,Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,#904ea6,,,,True
2026-06-07,solana,Index,_SPY,SPY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,#f79009,,,,,,True
2026-06-07,solana,Index,___GMTrade,GMTrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,#904ea6,,True
