date,currency,volumes,txs
2023-10-28,USDC,16717.15258,32
2023-10-29,USDC,7458.305918999999,31
2023-10-30,Other,169.976279,4
2023-10-30,USDC,67734.683352,32
2023-10-31,Other,64.542319,2
2023-10-31,USDC,85449.40638200002,43
2023-11-01,Other,0.0,1
2023-11-01,USDC,51724.122575999994,39
2023-11-02,Other,21.281564999999997,2
2023-11-02,USDC,30652.148727000003,46
2023-11-03,Other,107.853507,3
2023-11-03,USDC,116703.27242000001,52
2023-11-04,Other,216.58409799999998,2
2023-11-04,USDC,14723.651089000005,44
2023-11-05,Other,148.374546,3
2023-11-05,USDC,19966.690706999998,29
2023-11-06,Other,1000.108412,3
2023-11-06,USDC,93787.072839,48
2023-11-07,Other,247.453276012,3
2023-11-07,USDC,25048.712541999997,39
2023-11-08,Other,168.143345,3
2023-11-08,USDC,79296.023612,37
2023-11-09,Other,107.469044,1
2023-11-09,USDC,16464.70821,36
2023-11-10,USDC,32026.528919000004,44
2023-11-11,Other,10.831518,1
2023-11-11,USDC,16646.206318,40
2023-11-12,Other,75.726614,2
2023-11-12,USDC,10088.442722000002,17
2023-11-13,Other,202.608095,4
2023-11-13,USDC,155390.547542,37
2023-11-14,USDC,13175.275180999999,39
2023-11-15,USDC,34510.79829599999,33
2023-11-16,Other,0.019834,3
2023-11-16,USDC,87983.04055400004,59
2023-11-17,Other,6.9134884,1
2023-11-17,USDC,22754.549069,39
2023-11-18,Other,58.559418,1
2023-11-18,USDC,30377.597488999992,52
2023-11-19,Other,49.625,1
2023-11-19,USDC,6835.794593999998,29
2023-11-20,Other,0.0,1
2023-11-20,USDC,197097.89502900004,61
2023-11-21,Other,1068.929723661426,12
2023-11-21,USDC,19830.321445999987,47
2023-11-22,Other,0.0,1
2023-11-22,USDC,23069.380689999998,36
2023-11-23,Other,2593.4977799999997,3
2023-11-23,USDC,102769.467321,77
2023-11-24,Other,627.502759,4
2023-11-24,USDC,101105.298566,72
2023-11-25,Other,168.60152467,2
2023-11-25,USDC,25617.753949000005,60
2023-11-26,Other,15631.865155999998,4
2023-11-26,USDC,28163.552314999997,42
2023-11-27,Other,1061.60983,8
2023-11-27,USDC,123000.334239,61
2023-11-28,Other,381.55291814011076,4
2023-11-28,USDC,34842.702620000004,45
2023-11-29,Other,0.0,2
2023-11-29,USDC,72658.96793999999,57
2023-11-30,Other,6.189285239999999,1
2023-11-30,USDC,53767.929069000005,33
2023-12-01,Other,3582.522344985864,5
2023-12-01,USDC,25946.949026,45
2023-12-02,Other,167.053939,1
2023-12-02,USDC,29694.425731000003,28
2023-12-03,Other,65.2092834,2
2023-12-03,USDC,37074.55074099999,37
2023-12-04,Other,816.416153,3
2023-12-04,USDC,114232.59972099998,40
2023-12-05,USDC,23348.592944,39
2023-12-06,Other,337.209019,1
2023-12-06,USDC,79984.32660500001,53
2023-12-07,Other,470.4456561553125,4
2023-12-07,USDC,88162.77760700001,58
2023-12-07,USDT,399999.9999999996,395
2023-12-08,Other,14.613353274569125,5
2023-12-08,USDC,55268.36516299997,58
2023-12-08,USDT,400000.10999999946,480
2023-12-09,Other,585.4504410000001,2
2023-12-09,USDC,37865.168492000004,35
2023-12-10,Other,179.272946,1
2023-12-10,USDC,24462.189954000005,48
2023-12-10,USDT,0.02,1
2023-12-11,Other,4.4419137496875,3
2023-12-11,USDC,88521.30185599998,47
2023-12-11,USDT,400000.2199999977,2737
2023-12-12,Other,22738.751890106498,19
2023-12-12,USDC,120106.599957,47
2023-12-13,Other,221.10099005609376,2
2023-12-13,USDC,15242.72148,33
2023-12-13,USDT,400000.11199999996,295
2023-12-14,USDC,17304.100467999997,42
2023-12-15,Other,14.629786909984272,3
2023-12-15,USDC,84246.72839799999,45
2023-12-15,USDT,560000.2199999982,2427
2023-12-16,Other,1732.6411540000001,3
2023-12-16,USDC,16124.201541999999,37
2023-12-17,Other,921.4334870925939,2
2023-12-17,USDC,48897.67544,45
2023-12-17,USDT,140000.007,71
2023-12-18,Other,32611.826835875992,8
2023-12-18,USDC,104854.63285399995,47
2023-12-18,USDT,500000.01999999955,661
2023-12-19,Other,0.0,1
2023-12-19,USDC,43197.265574000005,49
2023-12-19,USDT,300000.30999999994,90
2023-12-20,Other,4.346677686562495,4
2023-12-20,USDC,105511.33351399998,66
2023-12-20,USDT,300000.1099999998,440
2023-12-21,Other,1209.9330449169152,10
2023-12-21,USDC,55041.34664900001,64
2023-12-21,USDT,230169.5342342,111
2023-12-22,Other,835.2437965344245,15
2023-12-22,USDC,77812.338289,80
2023-12-22,USDT,676649.4264773095,1832
2023-12-23,Other,4498.943539324713,14
2023-12-23,USDC,66156.00434400003,68
2023-12-23,USDT,93487.09275169819,74
2023-12-24,Other,266.5136055332813,9
2023-12-24,USDC,15365.429483000004,33
2023-12-24,USDT,253911.27078815983,94
2023-12-25,Other,2414.2998278412847,16
2023-12-25,USDC,93072.01723300002,46
2023-12-25,USDT,23504.573646749697,10
2023-12-26,Other,604.0715311555035,22
2023-12-26,USDC,28526.601474660696,57
2023-12-26,USDT,422837.6599139745,704
2023-12-27,Other,310.2400060013107,20
2023-12-27,USDC,78648.38912175824,74
2023-12-27,USDT,431335.19277071324,370
2023-12-28,Other,1255.5671599995476,15
2023-12-28,USDC,204949.2386224245,101
2023-12-28,USDT,554112.7718601617,376
2023-12-29,Other,3147.2221744912213,16
2023-12-29,USDC,103586.50986500001,73
2023-12-29,USDT,711373.1314432811,1418
2023-12-30,Other,5987.157526108243,12
2023-12-30,USDC,58944.00084134924,71
2023-12-30,USDT,152973.48624992563,85
2023-12-31,Other,5221.354594803083,11
2023-12-31,USDC,135266.17944321997,76
2023-12-31,USDT,421837.52337154513,366
2024-01-01,Other,1163.6710435752516,13
2024-01-01,USDC,15975.278182,43
2024-01-01,USDT,4519.0980778569,11
2024-01-02,Other,4435.5336747690935,12
2024-01-02,USDC,52884.435165,66
2024-01-02,USDT,438633.0446874111,781
2024-01-03,Other,1887.336213470318,22
2024-01-03,USDC,163380.46373,70
2024-01-03,USDT,402234.3227038893,1566
2024-01-04,Other,24377.35956023657,19
2024-01-04,USDC,50149.866384242196,57
2024-01-04,USDT,455718.78352825117,337
2024-01-05,Other,2481.1991692363395,26
2024-01-05,USDC,160599.12188150795,107
2024-01-05,USDT,784063.5966883542,1915
2024-01-06,Other,3070.439560907148,14
2024-01-06,USDC,32178.909373999995,55
2024-01-06,USDT,127969.331135,19
2024-01-07,Other,79866.31124061375,41
2024-01-07,USDC,32529.838566999988,52
2024-01-07,USDT,455480.1534643512,1700
2024-01-08,GBPe,1.33531755,1
2024-01-08,Other,7238.137320383484,22
2024-01-08,USDC,131266.829183,92
2024-01-08,USDT,420702.16546128603,2663
2024-01-09,GBPe,16.4370123,8
