date,chain,volumes,txs,users,new_users,returning_users,cumulative_users
2023-05-04,Gnosis,0.0,0,0,0,0,2
2023-05-04,Optimism,0.0,0,0,0,0,2
2023-05-04,Polygon,75805.721833,6,2,0,2,5
2023-05-05,Arbitrum,3740.833815,11,1,0,1,3
2023-05-05,Avalanche,0.0,0,0,0,0,1
2023-05-05,Ethereum,742.875,1,1,0,1,3
2023-05-05,Gnosis,0.0,0,0,0,0,2
2023-05-05,Optimism,168.385,1,1,0,1,2
2023-05-05,Polygon,6358.671179999999,4,1,0,1,5
2023-05-06,Arbitrum,2470.725708,5,1,0,1,3
2023-05-06,Avalanche,0.0,0,0,0,0,1
2023-05-06,Ethereum,11457.975017,2,1,0,1,3
2023-05-06,Gnosis,0.0,0,0,0,0,2
2023-05-06,Optimism,0.0,0,0,0,0,2
2023-05-06,Polygon,111.449009,2,1,0,1,5
2023-05-07,Arbitrum,2518.398401,10,1,0,1,3
2023-05-07,Avalanche,0.0,0,0,0,0,1
2023-05-07,Ethereum,549.247441,1,1,0,1,3
2023-05-07,Gnosis,0.0,0,0,0,0,2
2023-05-07,Optimism,2989.740688,2,1,0,1,2
2023-05-07,Polygon,80.77449999999999,2,1,0,1,5
2023-05-08,Arbitrum,3918.1357399999997,9,1,0,1,3
2023-05-08,Avalanche,0.0,0,0,0,0,1
2023-05-08,Ethereum,4952.5,1,1,0,1,3
2023-05-08,Gnosis,0.0,0,0,0,0,2
2023-05-08,Optimism,1485.75,1,1,0,1,2
2023-05-08,Polygon,2156.006472,4,1,0,1,5
2023-05-09,Arbitrum,6611.486499,13,1,0,1,3
2023-05-09,Avalanche,10.724771,1,1,0,1,1
2023-05-09,Ethereum,882.448691,2,1,0,1,3
2023-05-09,Gnosis,48.384953,1,1,0,1,2
2023-05-09,Optimism,271.488897,2,1,0,1,2
2023-05-09,Polygon,1397.498005,3,1,0,1,5
2023-05-10,Arbitrum,7173.248019000001,10,1,0,1,3
2023-05-10,Avalanche,98.862883,1,1,0,1,1
2023-05-10,Ethereum,11444.783124,4,1,0,1,3
2023-05-10,Gnosis,0.0,0,0,0,0,2
2023-05-10,Optimism,54.574946,1,1,0,1,2
2023-05-10,Polygon,0.0,0,0,0,0,5
2023-05-11,Arbitrum,3059.9372729999995,10,1,0,1,3
2023-05-11,Avalanche,413.96698,2,1,0,1,1
2023-05-11,Ethereum,540.232943,1,1,0,1,3
2023-05-11,Gnosis,198.1,1,1,0,1,2
2023-05-11,Optimism,1433.187972,2,1,0,1,2
2023-05-11,Polygon,86850.28914499999,6,2,0,2,5
2023-05-12,Arbitrum,5349.070122000001,11,1,0,1,3
2023-05-12,Avalanche,132.05084499999998,2,1,0,1,1
2023-05-12,Ethereum,6222.5692149999995,5,1,0,1,3
2023-05-12,Gnosis,518.88333,1,1,0,1,2
2023-05-12,Optimism,10.915068,1,1,0,1,2
2023-05-12,Polygon,291.334338,3,1,0,1,5
2023-05-13,Arbitrum,5206.614321999999,5,1,0,1,3
2023-05-13,Avalanche,0.0,0,0,0,0,1
2023-05-13,Ethereum,324.934916,1,1,0,1,3
2023-05-13,Gnosis,0.0,0,0,0,0,2
2023-05-13,Optimism,551.113719,2,1,0,1,2
2023-05-13,Polygon,200.266272,3,1,0,1,5
2023-05-14,Arbitrum,568.3750239999999,3,1,0,1,3
2023-05-14,Avalanche,0.0,0,0,0,0,1
2023-05-14,Ethereum,3549.962339,2,1,0,1,3
2023-05-14,Gnosis,0.0,0,0,0,0,2
2023-05-14,Optimism,0.0,0,0,0,0,2
2023-05-14,Polygon,757.807372,2,1,0,1,5
2023-05-15,Arbitrum,4950.618834000001,12,1,0,1,3
2023-05-15,Avalanche,0.0,0,0,0,0,1
2023-05-15,Ethereum,35697.034562999994,7,1,0,1,3
2023-05-15,Gnosis,0.0,0,0,0,0,2
2023-05-15,Optimism,12740.329931,5,1,0,1,2
2023-05-15,Polygon,514.0695,1,1,0,1,5
2023-05-16,Arbitrum,2284.486269,4,1,0,1,3
2023-05-16,Avalanche,402.53531699999996,2,1,0,1,1
2023-05-16,Ethereum,0.0,0,0,0,0,3
2023-05-16,Gnosis,0.0,0,0,0,0,2
2023-05-16,Optimism,4816.363866,1,1,0,1,2
2023-05-16,Polygon,98573.669721,5,2,0,2,5
