date,coin,volume_usd,trade_count,active_traders
2026-04-04,xyz:XYZ100,20564783.0818,51086,4250
2026-04-04,xyz:SILVER,8624950.40519,12944,900
2026-04-04,xyz:EUR,5500680.73682,7629,2838
2026-04-04,xyz:GOLD,3504555.10053,5083,643
2026-04-04,xyz:JPY,3129578.1359,7862,2851
2026-04-04,xyz:SNDK,1848534.96591,1848,475
2026-04-04,xyz:TSLA,1615700.60732,4212,609
2026-04-04,xyz:NVDA,1472601.58428,3507,380
2026-04-04,xyz:GOOGL,1354602.02889,3456,231
2026-04-04,xyz:CRCL,1180169.794551,2957,457
2026-04-04,xyz:EWY,1133340.56959,1998,139
2026-04-04,xyz:NATGAS,1062461.1343,2354,214
2026-04-04,xyz:LLY,785446.844954,1255,125
2026-04-04,xyz:MSTR,769717.17639,1317,164
2026-04-04,xyz:MU,725219.99737,1420,386
2026-04-04,xyz:COIN,722839.98673,1481,116
2026-04-04,xyz:INTC,643058.28874,1277,98
2026-04-04,xyz:HOOD,602345.470761,1509,116
2026-04-04,xyz:HIMS,569378.94266,464,357
2026-04-04,xyz:COPPER,497999.7888,1808,154
2026-04-04,xyz:PLTR,480606.51806,1295,97
2026-04-04,xyz:DKNG,466454.30523,353,319
2026-04-04,xyz:EWJ,393880.207291,304,261
2026-04-04,xyz:AMZN,266203.76468,1411,96
2026-04-04,xyz:META,234987.0061,599,114
2026-04-04,xyz:SKHX,194525.42938,632,103
2026-04-04,xyz:URNM,164125.21956,414,80
2026-04-04,xyz:TSM,163976.91916,471,57
2026-04-04,xyz:AMD,157937.71186,444,81
2026-04-04,xyz:CRWV,149693.4776,57,32
2026-04-04,xyz:MSFT,138042.82133,285,103
2026-04-04,xyz:SMSN,131735.20971,341,82
2026-04-04,xyz:NFLX,121213.415404,116,61
2026-04-04,xyz:RIVN,116591.53205,941,71
2026-04-04,xyz:AAPL,105929.23473,262,84
2026-04-04,xyz:PLATINUM,74395.42969,512,71
2026-04-04,xyz:PALLADIUM,33745.69457,273,64
2026-04-04,xyz:BABA,30473.05031,643,49
2026-04-04,xyz:ORCL,25861.74838,79,61
2026-04-04,xyz:HYUNDAI,7492.7001,40,34
2026-04-04,xyz:COST,1883.72418,32,31
2026-04-04,xyz:USAR,730.47703,24,20
2026-04-05,xyz:CL,278083183.53195,152534,11364
2026-04-05,xyz:BRENTOIL,117324155.0306,67823,3241
2026-04-05,xyz:SILVER,68616517.50691,62102,1494
2026-04-05,xyz:XYZ100,65783667.861,56158,1590
2026-04-05,xyz:SP500,53382319.2695,55055,2381
2026-04-05,xyz:GOLD,33813499.19278,20541,1127
2026-04-05,xyz:PLATINUM,13562506.18053,9366,272
2026-04-05,xyz:CRCL,4613921.791416,10647,654
2026-04-05,xyz:TSLA,4310862.49381,10934,652
2026-04-05,xyz:NATGAS,3863534.22529,6337,387
2026-04-05,xyz:MSTR,3748566.38123,4192,223
2026-04-05,xyz:EUR,3387488.66703,2294,157
2026-04-05,xyz:HOOD,3317439.5154,4541,226
2026-04-05,xyz:NVDA,3177563.51271,5785,438
2026-04-05,xyz:COIN,2927617.73611,5736,219
2026-04-05,xyz:EWY,2710278.91694,4302,239
2026-04-05,xyz:JPY,2266691.1102,1842,134
2026-04-05,xyz:INTC,2030385.26523,3461,176
2026-04-05,xyz:SNDK,1912916.90215,3013,461
2026-04-05,xyz:MU,1439500.20056,1595,479
2026-04-05,xyz:GOOGL,1341960.05764,2395,229
2026-04-05,xyz:PLTR,1138329.00749,2441,189
2026-04-05,xyz:COPPER,1111041.802317,1733,174
2026-04-05,xyz:COST,1041702.8099,1058,27
2026-04-05,xyz:META,515008.58906,1025,168
2026-04-05,xyz:EWJ,505130.149446,437,338
2026-04-05,xyz:AMZN,478042.15698,1665,135
2026-04-05,xyz:SMSN,466296.70947,778,160
2026-04-05,xyz:DKNG,459725.14026,586,374
2026-04-05,xyz:HIMS,377066.29207,255,251
2026-04-05,xyz:SKHX,319615.92631,895,151
2026-04-05,xyz:AMD,310630.76057,759,103
2026-04-05,xyz:MSFT,279654.47539,762,112
2026-04-05,xyz:AAPL,227014.60183,575,122
2026-04-05,xyz:ORCL,213866.77145,192,67
2026-04-05,xyz:URNM,188060.91432,276,70
2026-04-05,xyz:PALLADIUM,146141.37312,415,56
2026-04-05,xyz:TSM,131994.28816,113,41
2026-04-05,xyz:NFLX,63144.611932,264,46
2026-04-05,xyz:BABA,56826.55748,659,52
2026-04-05,xyz:CRWV,47290.57599,56,31
2026-04-05,xyz:HYUNDAI,37624.68995,259,59
2026-04-05,xyz:USAR,6349.53344,43,23
2026-04-05,xyz:LLY,2833.063308,27,16
2026-04-05,xyz:RIVN,2579.27009,54,41
2026-04-06,xyz:CL,873361899.91528,255797,13982
2026-04-06,xyz:BRENTOIL,496374104.7417,126071,4409
2026-04-06,xyz:XYZ100,307879658.0394,115924,4962
2026-04-06,xyz:SILVER,257969374.30805,146001,2713
2026-04-06,xyz:SP500,218444580.3834,65426,3447
2026-04-06,xyz:GOLD,70093453.58675,28304,2060
2026-04-06,xyz:TSLA,29925259.37363,55905,1692
2026-04-06,xyz:CRCL,29780598.210535,40994,903
2026-04-06,xyz:NATGAS,28506761.68595,20472,628
2026-04-06,xyz:SNDK,27123556.50806,11849,1050
2026-04-06,xyz:HOOD,12635532.547445,14921,423
2026-04-06,xyz:MU,11083638.89893,5282,802
2026-04-06,xyz:INTC,11054664.42719,14617,362
2026-04-06,xyz:EWY,10722708.64715,13937,519
2026-04-06,xyz:NVDA,10267427.94353,13852,874
2026-04-06,xyz:JPY,9935542.2588,9662,2275
2026-04-06,xyz:EUR,9639824.60538,9502,2355
2026-04-06,xyz:PLATINUM,9230229.41961,17586,290
2026-04-06,xyz:MSTR,7199382.50176,7227,458
2026-04-06,xyz:GOOGL,7095051.69543,8962,444
2026-04-06,xyz:COIN,6866474.61884,10509,311
2026-04-06,xyz:COPPER,5267974.644589,3659,249
2026-04-06,xyz:AAPL,4138082.08758,6195,384
2026-04-06,xyz:PLTR,4032394.49453,6151,263
2026-04-06,xyz:TSM,3815054.62146,2345,143
2026-04-06,xyz:META,1958237.16436,3853,274
2026-04-06,xyz:AMD,1702692.72182,1363,213
2026-04-06,xyz:NFLX,1664669.651777,1379,189
2026-04-06,xyz:AMZN,1614561.73378,2805,272
2026-04-06,xyz:MSFT,1562664.88073,3554,290
2026-04-06,xyz:EWJ,1437482.900423,1155,425
2026-04-06,xyz:SKHX,1089249.12988,1229,247
2026-04-06,xyz:PALLADIUM,1057325.72702,1614,121
2026-04-06,xyz:CRWV,990706.74911,428,68
2026-04-06,xyz:ORCL,982257.55728,775,160
2026-04-06,xyz:USAR,776267.41632,743,84
2026-04-06,xyz:BABA,760262.04315,1420,140
2026-04-06,xyz:SMSN,734956.38448,1360,293
2026-04-06,xyz:HIMS,560953.68166,417,311
2026-04-06,xyz:RIVN,466694.37963,329,76
2026-04-06,xyz:DKNG,351690.34444,290,272
2026-04-06,xyz:LLY,231274.036131,127,39
2026-04-06,xyz:URNM,157701.83419,352,106
2026-04-06,xyz:COST,10230.68198,55,35
2026-04-06,xyz:HYUNDAI,9515.38995,60,23
2026-04-07,xyz:CL,2209882531.061207,490383,18042
2026-04-07,xyz:BRENTOIL,1066822945.48269,277503,8618
2026-04-07,xyz:XYZ100,608128560.2947,180423,4949
2026-04-07,xyz:SILVER,437275271.67618,220773,3814
2026-04-07,xyz:SP500,414417289.1297,98349,5108
2026-04-07,xyz:GOLD,105501392.99358,36271,2825
2026-04-07,xyz:TSLA,32949940.84127,58887,1713
2026-04-07,xyz:CRCL,32393854.082918,44832,928
2026-04-07,xyz:NATGAS,23860963.45906,22385,817
2026-04-07,xyz:NVDA,23108842.29772,23416,1213
2026-04-07,xyz:INTC,21043905.21805,26107,557
2026-04-07,xyz:EWY,19918691.33035,13859,565
2026-04-07,xyz:PLATINUM,19374322.54632,20419,396
2026-04-07,xyz:SNDK,17197871.68502,11339,805
2026-04-07,xyz:EUR,13172441.06303,8461,1253
2026-04-07,xyz:AAPL,13146575.27484,8440,711
2026-04-07,xyz:GOOGL,11979379.25409,15128,763
2026-04-07,xyz:HOOD,11537481.799505,14966,438
2026-04-07,xyz:MU,9420624.00899,6062,675
2026-04-07,xyz:COIN,9071656.63959,13289,420
2026-04-07,xyz:PLTR,7694360.39602,8176,447
2026-04-07,xyz:MSTR,6465975.10996,5704,422
2026-04-07,xyz:AMZN,5831810.29303,7280,423
2026-04-07,xyz:COPPER,4455190.386889,4176,458
2026-04-07,xyz:TSM,4391258.86422,3080,208
2026-04-07,xyz:META,4298875.26298,5441,469
2026-04-07,xyz:AMD,3451119.60484,2009,345
2026-04-07,xyz:JPY,3336172.6902,5354,1186
2026-04-07,xyz:MSFT,2540039.79805,2552,411
2026-04-07,xyz:EWJ,2238686.188937,2293,354
2026-04-07,xyz:SKHX,2157576.28047,2204,338
2026-04-07,xyz:USAR,1761263.37252,749,108
2026-04-07,xyz:ORCL,1661258.49182,1554,242
2026-04-07,xyz:CRWV,1555512.36594,439,81
2026-04-07,xyz:SMSN,1442777.52632,1628,329
2026-04-07,xyz:BABA,1290221.18576,2129,198
2026-04-07,xyz:NFLX,1227408.53736,1104,178
2026-04-07,xyz:PALLADIUM,661853.73519,1734,140
2026-04-07,xyz:URNM,547208.84391,1535,123
2026-04-07,xyz:RIVN,436892.59434,319,129
2026-04-07,xyz:HIMS,353120.4246,400,195
2026-04-07,xyz:DKNG,141430.33803,111,88
2026-04-07,xyz:HYUNDAI,114981.91773,325,76
2026-04-07,xyz:COST,105826.97182,208,53
2026-04-07,xyz:LLY,71072.806656,79,36
2026-04-08,xyz:CL,1911141722.999002,445174,12148
2026-04-08,xyz:BRENTOIL,1018878595.96126,247993,6507
2026-04-08,xyz:SP500,450322995.8534,105497,4814
2026-04-08,xyz:XYZ100,331462334.9244,135399,4775
2026-04-08,xyz:SILVER,288670248.39794,155873,3467
2026-04-08,xyz:GOLD,77986062.1185,28162,2898
2026-04-08,xyz:MU,51094927.79488,15593,707
2026-04-08,xyz:SNDK,45710522.85918,16826,931
2026-04-08,xyz:TSLA,41342420.42647,54323,1717
2026-04-08,xyz:CRCL,32788648.873172,42096,992
2026-04-08,xyz:NVDA,28693745.78489,23132,1331
2026-04-08,xyz:NATGAS,25483168.54326,26175,812
2026-04-08,xyz:EWY,21603135.76071,15472,611
2026-04-08,xyz:HOOD,20595048.513144,17593,728
2026-04-08,xyz:INTC,19979230.56016,18936,627
2026-04-08,xyz:GOOGL,14304140.91155,12819,792
2026-04-08,xyz:PLTR,9956019.38144,9764,480
2026-04-08,xyz:EUR,9467304.24581,4962,1224
2026-04-08,xyz:PLATINUM,8817819.85368,12899,351
2026-04-08,xyz:COIN,8347169.21441,9240,423
2026-04-08,xyz:SKHX,7955381.0125,7934,623
2026-04-08,xyz:MSTR,6371545.325,4941,440
2026-04-08,xyz:BABA,6353175.12459,3764,293
2026-04-08,xyz:META,5405576.5177,7346,739
2026-04-08,xyz:AAPL,5272558.87763,3962,633
2026-04-08,xyz:COPPER,4559344.742279,8394,543
2026-04-08,xyz:ORCL,4556257.51764,3066,325
2026-04-08,xyz:MSFT,4388751.2111,3421,596
2026-04-08,xyz:AMZN,2899961.18107,4445,533
2026-04-08,xyz:JPY,2808105.189,7022,1155
2026-04-08,xyz:AMD,2054478.41519,1185,423
2026-04-08,xyz:CRWV,2021672.24585,633,138
2026-04-08,xyz:EWJ,1716696.786619,4408,233
2026-04-08,xyz:SMSN,1642697.97639,1474,276
2026-04-08,xyz:TSM,1556060.61258,1559,205
2026-04-08,xyz:USAR,1485763.76204,803,95
2026-04-08,xyz:NFLX,1435310.052922,1740,358
2026-04-08,xyz:RIVN,1242626.75825,830,260
2026-04-08,xyz:PALLADIUM,753330.66401,3311,144
2026-04-08,xyz:URNM,420828.35036,604,113
2026-04-08,xyz:COST,264943.008075,3263,81
2026-04-08,xyz:HIMS,254266.59708,310,74
2026-04-08,xyz:LLY,253281.320878,199,28
2026-04-08,xyz:HYUNDAI,178868.55198,486,130
2026-04-08,xyz:DKNG,4831.00344,70,22
2026-04-09,xyz:CL,1349818203.221086,378290,10344
2026-04-09,xyz:BRENTOIL,659756904.21312,171796,4685
2026-04-09,xyz:SP500,306276672.0512,92355,4489
2026-04-09,xyz:XYZ100,262413565.6017,118430,3090
2026-04-09,xyz:SILVER,206061451.01358,106500,3298
2026-04-09,xyz:CRCL,49639691.088547,45216,1162
2026-04-09,xyz:GOLD,42197307.66802,18485,2056
2026-04-09,xyz:TSLA,28823457.09781,47320,1217
2026-04-09,xyz:SNDK,25278540.2766,13142,1027
2026-04-09,xyz:INTC,20441843.77359,19598,816
2026-04-09,xyz:NATGAS,18604942.84321,16357,636
2026-04-09,xyz:COIN,16153513.58591,11681,423
2026-04-09,xyz:MU,12850943.30681,8314,546
2026-04-09,xyz:HOOD,12837675.910305,10972,374
2026-04-09,xyz:EWY,12256376.78946,6988,405
2026-04-09,xyz:NVDA,12200388.60668,17136,1247
2026-04-09,xyz:GOOGL,10014363.37332,11777,706
2026-04-09,xyz:AMZN,8610229.04356,7746,584
2026-04-09,xyz:PLTR,8106609.70663,7929,928
2026-04-09,xyz:MSTR,7447971.01292,4523,334
2026-04-09,xyz:MSFT,5835264.25179,3539,633
2026-04-09,xyz:PLATINUM,5327345.0789,8005,514
2026-04-09,xyz:CRWV,5282841.0298,1831,232
2026-04-09,xyz:META,4864421.49795,6825,711
2026-04-09,xyz:COPPER,4563981.821098,5313,720
2026-04-09,xyz:BABA,4232415.95407,2874,232
2026-04-09,xyz:AAPL,3301872.1197,3558,458
2026-04-09,xyz:ORCL,2896843.94002,1691,697
2026-04-09,xyz:SKHX,2306894.19111,2185,303
2026-04-09,xyz:EUR,1849990.61187,1221,237
2026-04-09,xyz:TSM,1687058.68827,1412,319
2026-04-09,xyz:EWJ,1510892.857303,3213,205
2026-04-09,xyz:AMD,1378464.87079,1041,341
2026-04-09,xyz:JPY,1289563.6539,5830,177
2026-04-09,xyz:NFLX,1155648.223966,1123,247
2026-04-09,xyz:JP225,943200.81483,896,172
2026-04-09,xyz:PALLADIUM,573998.84333,1851,103
2026-04-09,xyz:USAR,468256.94718,564,128
2026-04-09,xyz:SMSN,390760.18272,556,138
2026-04-09,xyz:RIVN,345777.23448,234,66
2026-04-09,xyz:HIMS,228844.20908,247,150
2026-04-09,xyz:DKNG,225845.38362,257,158
2026-04-09,xyz:COST,200652.44203,2212,49
2026-04-09,xyz:URNM,149904.98514,602,74
2026-04-09,xyz:HYUNDAI,72902.4331,178,70
2026-04-09,xyz:LLY,53651.164862,57,35
2026-04-09,xyz:KR200,32881.602613,76,25
2026-04-10,xyz:CL,705031044.951691,289554,6600
2026-04-10,xyz:BRENTOIL,284784399.94058,80068,3115
2026-04-10,xyz:SP500,220532459.3245,73118,3717
2026-04-10,xyz:XYZ100,181122160.6839,97362,3156
2026-04-10,xyz:SILVER,129313530.88329,67190,2309
2026-04-10,xyz:GOLD,44801656.69837,16351,1706
2026-04-10,xyz:CRCL,42502120.834297,47526,974
2026-04-10,xyz:TSLA,26362393.14365,43755,1037
2026-04-10,xyz:SNDK,22952446.4894,19808,943
2026-04-10,xyz:PLTR,21649291.65546,13639,1170
2026-04-10,xyz:NVDA,17905580.66596,14413,1341
2026-04-10,xyz:INTC,13697378.80369,18374,538
2026-04-10,xyz:NATGAS,13423686.96032,13613,442
2026-04-10,xyz:MU,12880980.40799,8773,454
2026-04-10,xyz:COPPER,11579765.083736,14743,549
2026-04-10,xyz:CRWV,8585612.70918,4622,297
2026-04-10,xyz:HOOD,7779304.465592,8848,296
2026-04-10,xyz:GOOGL,7778896.55287,8567,511
2026-04-10,xyz:COIN,7162047.56225,9405,409
2026-04-10,xyz:MSFT,6822977.49749,3854,437
2026-04-10,xyz:EWY,5251979.76716,4252,253
2026-04-10,xyz:AMZN,5156037.71826,5813,514
2026-04-10,xyz:MSTR,4939465.2732,3946,295
2026-04-10,xyz:TSM,4814627.32369,3060,261
2026-04-10,xyz:PLATINUM,3854404.35502,6053,254
2026-04-10,xyz:AMD,3620153.71861,2013,355
2026-04-10,xyz:ORCL,3503522.5184,2135,359
2026-04-10,xyz:AAPL,3231551.5209,3354,490
2026-04-10,xyz:META,3125443.37569,4745,379
2026-04-10,xyz:EUR,2157753.14329,1718,241
2026-04-10,xyz:BABA,1565730.98789,2306,191
2026-04-10,xyz:USAR,1336949.47712,1112,125
2026-04-10,xyz:JPY,1264938.2996,4818,172
2026-04-10,xyz:EWJ,1008464.687128,2658,140
2026-04-10,xyz:SKHX,963230.5377,3764,179
2026-04-10,xyz:NFLX,809283.35991,812,174
2026-04-10,xyz:JP225,720147.23877,850,116
2026-04-10,xyz:HYUNDAI,634561.86195,1121,95
2026-04-10,xyz:RIVN,457770.70615,242,85
2026-04-10,xyz:PALLADIUM,391237.63393,886,73
2026-04-10,xyz:KR200,331847.248364,385,86
2026-04-10,xyz:SMSN,262630.3025,885,139
2026-04-10,xyz:HIMS,237797.23236,217,69
2026-04-10,xyz:URNM,76602.33966,335,56
2026-04-10,xyz:LLY,69393.182066,80,40
2026-04-10,xyz:COST,60263.899462,81,36
2026-04-10,xyz:DKNG,52433.97135,100,59
2026-04-11,xyz:CL,232906803.581998,199091,6075
2026-04-11,xyz:BRENTOIL,98150015.08303,70026,3167
2026-04-11,xyz:SP500,48328555.7372,95708,2735
2026-04-11,xyz:XYZ100,43064816.2682,35074,2158
2026-04-11,xyz:SILVER,7992158.10508,9075,1007
2026-04-11,xyz:TSLA,7111417.49127,16851,676
2026-04-11,xyz:EUR,5793413.23138,3173,84
2026-04-11,xyz:NVDA,4872220.74992,9625,641
2026-04-11,xyz:CRCL,4312273.815908,7434,487
2026-04-11,xyz:JPY,4108222.2281,2722,76
2026-04-11,xyz:GOLD,3343539.69611,4719,723
2026-04-11,xyz:COIN,3226349.68198,3476,248
2026-04-11,xyz:EWY,3052835.20332,2760,201
2026-04-11,xyz:MU,2960894.37197,3931,416
2026-04-11,xyz:MSTR,2818632.56671,2431,205
2026-04-11,xyz:SNDK,2551515.23565,7478,371
2026-04-11,xyz:PLTR,2349371.85334,4138,439
2026-04-11,xyz:HOOD,2299936.93326,3609,196
2026-04-11,xyz:GOOGL,1995360.26223,4480,327
2026-04-11,xyz:NATGAS,1854952.63642,6095,214
2026-04-11,xyz:INTC,1738793.01064,2631,214
2026-04-11,xyz:AMZN,1501775.04641,2345,291
2026-04-11,xyz:AMD,1390124.37414,1726,245
2026-04-11,xyz:MSFT,1352317.70095,2510,254
2026-04-11,xyz:META,1217511.87143,2037,322
2026-04-11,xyz:COPPER,1076479.989437,2820,301
2026-04-11,xyz:AAPL,891509.53869,1451,405
2026-04-11,xyz:BABA,468225.70213,700,193
2026-04-11,xyz:CRWV,434977.8606,1145,138
2026-04-11,xyz:TSM,362396.40399,1341,177
2026-04-11,xyz:NFLX,336121.09023,598,196
2026-04-11,xyz:PLATINUM,233173.33515,933,176
2026-04-11,xyz:ORCL,174156.44213,275,130
2026-04-11,xyz:SKHX,174117.97451,400,136
2026-04-11,xyz:JP225,127117.65121,119,53
2026-04-11,xyz:HYUNDAI,116166.63895,1618,62
2026-04-11,xyz:USAR,109849.71524,1663,65
2026-04-11,xyz:RIVN,101248.79541,122,89
2026-04-11,xyz:EWJ,68722.281112,1081,77
2026-04-11,xyz:SMSN,45102.96402,142,80
2026-04-11,xyz:PALLADIUM,34080.7699,294,17
2026-04-11,xyz:KR200,19789.610769,72,33
2026-04-11,xyz:URNM,6273.07999,45,25
2026-04-11,xyz:COST,3880.748538,18,12
2026-04-11,xyz:HIMS,2965.66703,11,6
2026-04-11,xyz:DKNG,1509.41175,14,7
2026-04-11,xyz:LLY,661.100534,6,10
2026-04-12,xyz:CL,866377315.890246,407823,10510
2026-04-12,xyz:BRENTOIL,393863075.38684,171294,6057
2026-04-12,xyz:SP500,213771372.1155,175801,3632
2026-04-12,xyz:XYZ100,134484246.1707,78741,2522
2026-04-12,xyz:SILVER,71008594.6418,73368,2249
2026-04-12,xyz:GOLD,30877179.34475,15277,1489
